primary_key,address,neighborhood
97,"R CARLOS GIL, LT. 647 C",ALFINETES
98,"R CARLOS GIL, LT. 642 B",ALFINETES
99,"R ALCINA BASTOS, LT. 3",FURNAS
100,"R ALCINA BASTOS, LT. 2",FURNAS
101,"SALAO FESTAS BO DAS FURNAS, SN",FURNAS
102,"R RAUL MESNIER PONSARD, N. 12",ALTO DO LUMIAR
103,"R CARLOS GIL, LT. 647 AB",ALFINETES
104,"R ARTUR DUARTE, N. 15",ALFINETES
105,"AV MARIA HELENA VIEIRA SILVA, N. 6",ALTO DO LUMIAR
106,"AV MARIA HELENA VIEIRA SILVA, N. 8",ALTO DO LUMIAR
107,"LG CALOUSTE GULBENKIAN, LT. 13",FURNAS
108,"LG CALOUSTE GULBENKIAN, LT. 12",FURNAS
109,"LARGO ROQUE LAIA, LT. 1",OLAIAS
110,"LARGO ROQUE LAIA, LT. 2",OLAIAS
111,"R RAUL MESNIER PONSARD, N. 14",ALTO DO LUMIAR
112,"AV MARIA HELENA VIEIRA SILVA, N. 10",ALTO DO LUMIAR
113,"R RIO PAIVA, LT. 54",PADRE CRUZ
114,"R RIO TAVORA, LT. 9",PADRE CRUZ
115,"R FERNANDO SYLVAN, LT. 31",FURNAS
116,"LG CALOUSTE GULBENKIAN, LT. 15",FURNAS
117,"R CARLOS GIL, LT. 646 A",ALFINETES
118,"R CARLOS GIL, LT. 647 D",ALFINETES
119,"R PROF ALMEIDA LIMA, LT. 23",PADRE CRUZ
120,"R RIO CAIA, LT. 45",PADRE CRUZ
121,"R CARLOS GIL, LT. 642 D",ALFINETES
122,"R JOAO CESAR MONTEIRO, N. 20",ALFINETES
123,"R PADRE CARLOS SANTOS, LT. 34",FURNAS
124,"R ALCINA BASTOS, LT. 5",FURNAS
125,"R RIO PAIVA, LT. 63",PADRE CRUZ
126,"R RIO SADO, LT. 1",PADRE CRUZ
127,"LG MARIA JUDITE CARVALHO, N. 6",CASAL DOS MACHADOS
128,"LG MARIA JUDITE CARVALHO, N. 5",CASAL DOS MACHADOS
129,"R RIO GUADIANA, LT. 5",PADRE CRUZ
130,"R RIO MIRA, LT. 15",PADRE CRUZ
131,"R RIO CEIRA, LT. 22",PADRE CRUZ
132,"R RIO TORGAL, LT. 3",PADRE CRUZ
133,"R PADRE CARLOS SANTOS, LT. 36",FURNAS
134,"R RAUL MESNIER PONSARD, N. 8",ALTO DO LUMIAR
135,"LG CALDERON DINIS, N. 6",CASAL DOS MACHADOS
136,"LG MARIA JUDITE CARVALHO, N. 7",CASAL DOS MACHADOS
137,"R PROF PAIS SILVA, LT. 71",PADRE CRUZ
138,"R RIO SADO, LT. 2",PADRE CRUZ
139,"R PROF FIDELINO FIGUEIREDO, LT. 77",PADRE CRUZ
140,"R PROF LINDLEY CINTRA, LT. 47",PADRE CRUZ
141,"AV MARIA HELENA VIEIRA SILVA, N. 12",ALTO DO LUMIAR
142,"R JOAO CESAR MONTEIRO, N. 14",ALFINETES
143,"R RIO ALVA, LT. 42",PADRE CRUZ
144,"R RIO PAIVA, LT. 36",PADRE CRUZ
145,"R RIO PAIVA, LT. 30",PADRE CRUZ
146,"R RIO ARADE, LT. 16",PADRE CRUZ
147,"R PROF ARSENIO NUNES, LT. 18",PADRE CRUZ
148,"R RIO CEIRA, LT. 19",PADRE CRUZ
149,"R ARTUR DUARTE, N. 5",ALFINETES
150,"R CARLOS GIL, LT. 646 B",ALFINETES
151,"R RIO SABOR, LT. 31",PADRE CRUZ
152,"R RIO LENA, LT. 70",PADRE CRUZ
153,"R RIO VIZELA, LT. 15",PADRE CRUZ
154,"R RIO ALVA, LT. 43",PADRE CRUZ
155,"R CARLOS GIL, LT. 646 C",ALFINETES
156,"R CARLOS GIL, LT. 647 A",ALFINETES
157,"R PROF LINDLEY CINTRA, LT. 33",PADRE CRUZ
158,"R PROF ARSENIO NUNES, LT. 17",PADRE CRUZ
159,"R RIO TORGAL, LT. 13",PADRE CRUZ
160,"R RIO CAIA, LT. 41",PADRE CRUZ
161,"LG CALDERON DINIS, N. 7",CASAL DOS MACHADOS
162,"LG CALDERON DINIS, N. 4",CASAL DOS MACHADOS
163,"R PROF PAIS SILVA, LT. 68",PADRE CRUZ
164,"R RIO GUADIANA, LT. 6",PADRE CRUZ
165,"R RIO PAIVA, LT. 27",PADRE CRUZ
166,"R RIO LENA, LT. 29",PADRE CRUZ
167,"LG CALDERON DINIS, N. 2",CASAL DOS MACHADOS
168,"R PADRE CARLOS SANTOS, LT. 38",FURNAS
169,"R CARLOS GIL, LT. 642 A",ALFINETES
170,"R CARLOS GIL, LT. 647 AA",ALFINETES
171,"R RIO TAMEGA, LT. 31",PADRE CRUZ
172,"R RIO GUADIANA, LT. 8",PADRE CRUZ
173,"R RIO TAMEGA, LT. 30",PADRE CRUZ
174,"R RIO PAIVA, LT. 9",PADRE CRUZ
175,"R FERNANDO PITEIRA SANTOS, LT. 63",PADRE CRUZ
176,"R PROF ARSENIO NUNES, LT. 51",PADRE CRUZ
177,"R CARLOS GIL, LT. 647 AC",ALFINETES
178,"R ARTUR DUARTE, N. 13",ALFINETES
179,"LG MADALENA PERDIGAO, LT. 27",FURNAS
180,"LG CALOUSTE GULBENKIAN, LT. 14",FURNAS
181,"R RIO DAO, LT. 25",PADRE CRUZ
182,"R RIO VIZELA, LT. 20",PADRE CRUZ
183,"R PROF ALMEIDA LIMA, LT. 58",PADRE CRUZ
184,"R JOSE INACIO ANDRADE, N. 16",QUINTA LAVRADO
185,"R ARTUR DUARTE, N. 11",ALFINETES
186,"R JOAO CESAR MONTEIRO, N. 22",ALFINETES
187,"R PROF ARSENIO NUNES, LT. 50",PADRE CRUZ
188,"R HENRIQUE BARRILARO RUAS, N. 33",VALE SANTO ANTONIO
189,"R ARNALDO ASSIS PACHECO, LT. 4 B",AMEIXOEIRA
190,"R ARNALDO ASSIS PACHECO, LT. 11 A",AMEIXOEIRA
191,"PC ANTONIO BAIAO, N. 3",SARGENTO ABILIO
192,"R COSTA MALHEIRO, LT. B12",ALFREDO BENSAUDE
193,"LG ROQUE LAIA, N. 3",OLAIAS
194,"LG ROQUE LAIA, N. 4",OLAIAS
195,"R FERNANDA ALVES, LT. 6",AMEIXOEIRA
196,"R ALBERTO JOSE PESSOA, LT. G1",MARQUES ABRANTES
197,"LG ROQUE LAIA, N. 5",OLAIAS
198,"R PROF FIDELINO FIGUEIREDO, LT. 78",PADRE CRUZ
199,"R ALBERTO JOSE PESSOA, LT. G7",MARQUES ABRANTES
200,"R ALBERTO JOSE PESSOA, LT. G9",MARQUES ABRANTES
201,"R RIO GUADIANA, LT. 9",PADRE CRUZ
202,"R PROF ARSENIO NUNES, LT. 14",PADRE CRUZ
203,"R ALBERTO JOSE PESSOA, LT. G10",MARQUES ABRANTES
204,"R ALBERTO JOSE PESSOA, LT. G11",MARQUES ABRANTES
205,"R RIO PAIVA, LT. 90",PADRE CRUZ
206,"R RIO LIMA, LT. 13",PADRE CRUZ
207,"R JOSE VIANA, LT. 16",AMEIXOEIRA
208,"R JOSE FELICIDADE ALVES, N. 2",BELA FLOR
209,"R ALBERTO JOSE PESSOA, LT. G13",MARQUES ABRANTES
210,"R ALBERTO JOSE PESSOA, LT. H3",MARQUES ABRANTES
211,"R RIO CAIA, LT. 35",PADRE CRUZ
212,"R RIO SABOR, LT. 97",PADRE CRUZ
213,"R ARNALDO ASSIS PACHECO, LT. 1 A",AMEIXOEIRA
214,"R JOSE VIANA, LT. 19 A",AMEIXOEIRA
215,"R ALBERTO JOSE PESSOA, LT. H5",MARQUES ABRANTES
216,"R ALBERTO JOSE PESSOA, LT. H7",MARQUES ABRANTES
217,"R RIO ALVA, LT. 60",PADRE CRUZ
218,"R RIO LABOREIRO, LT. 11",PADRE CRUZ
219,"R ALBERTO JOSE PESSOA, LT. F3",MARQUES ABRANTES
220,"R MARIO DIONISIO, N. 3",ALTO FAIA
221,"R JOSE FELICIDADE ALVES, N. 4",BELA FLOR
222,"R JOSE FELICIDADE ALVES, N. 7",BELA FLOR
223,"R RIO ALVA, LT. 4",PADRE CRUZ
224,"R RIO TAVORA, LT. 39",PADRE CRUZ
225,"R JOSE CARLOS SA SILVEIRA, LT. 16",FURNAS
226,"R COSTA MOTA, LT. 10",FURNAS
227,"R HENRIQUE BARRILARO RUAS, N. 47",VALE SANTO ANTONIO
228,"R RIO LENA, LT. 48",PADRE CRUZ
229,"R FERNANDA ALVES, LT. 5",AMEIXOEIRA
230,"R ALBERTO JOSE PESSOA, LT. G3",MARQUES ABRANTES
231,"R RIO COURA, LT. 30",PADRE CRUZ
232,"R ALBERTO JOSE PESSOA, LT. F4",MARQUES ABRANTES
233,"R PROF ARSENIO NUNES, LT. 12",PADRE CRUZ
234,"R RIO LENA, LT. 40",PADRE CRUZ
235,"R ALBERTO JOSE PESSOA, LT. G5",MARQUES ABRANTES
236,"R ALBERTO JOSE PESSOA, LT. I",MARQUES ABRANTES
237,"PC ANTONIO BAIAO, N. 7",SARGENTO ABILIO
238,"R ALBERTO JOSE PESSOA, LT. E",MARQUES ABRANTES
239,"R PROF LINDLEY CINTRA, LT. 34",PADRE CRUZ
240,"R RIO PAIVA, LT. 14",PADRE CRUZ
241,"R GENERAL THEMUDO BARATA, N. 13",VALE SANTO ANTONIO
242,"R ALBERTO JOSE PESSOA, LT. D2",MARQUES ABRANTES
243,"R ALBERTO JOSE PESSOA, LT. D4",MARQUES ABRANTES
244,"R CASTELO BRANCO SARAIVA, N. 87",VALE SANTO ANTONIO
245,"R PROF ALMEIDA LIMA, LT. 54",PADRE CRUZ
246,"R RIO PAIVA, LT. 50",PADRE CRUZ
247,"AV GLICINIA QUARTIN, N. 16",AMEIXOEIRA
248,"R ANTONIO VILAR, LT. 13",AMEIXOEIRA
249,"R CASTELO BRANCO SARAIVA, N. 89",VALE SANTO ANTONIO
